,Word,Pronunciations
0,'bout,/ˈbaʊt/
1,'cause,/kəz/
2,'course,/ˈkɔɹs/
3,'cuse,/ˈkjuz/
4,'em,/əm/
5,'frisco,/ˈfɹɪskoʊ/
6,'gain,/ˈɡɛn/
7,'kay,/ˈkeɪ/
8,'m,/əm/
9,'n,/ən/
10,'round,/ˈɹaʊnd/
11,'s,/ˈɛs/
12,'til,/ˈtɪɫ/
13,'tis,/ˈtɪz/
14,'twas,/ˈtwəz/
15,a,"/ˈeɪ/, /ə/"
16,a.,/ˈeɪ/
17,a.'s,/ˈeɪz/
18,a.d.,/ˌeɪˈdi/
19,a.m.,/ˌeɪˈɛm/
20,a.s,/ˈeɪz/
21,a's,/ˈeɪz/
22,aaa,/ˌtɹɪpəˈɫeɪ/
23,aaberg,/ˈɑbɝɡ/
24,aachen,/ˈɑkən/
25,aachener,/ˈɑkənɝ/
26,aaker,/ˈɑkɝ/
27,aaliyah,/ˌɑˈɫiˌɑ/
28,aalseth,/ˈɑɫsɛθ/
29,aamodt,/ˈɑmət/
30,aancor,/ˈɑnˌkɔɹ/
31,aardema,/ɑɹˈdɛmə/
32,aardvark,/ˈɑɹdˌvɑɹk/
33,aardvarks,/ˈɑɹdˌvɑɹks/
34,aargh,/ˈɑɹɡ/
35,aarhus,/ˌɑˈhus/
36,aaron,/ˈɛɹən/
37,aaron's,/ˈɛɹənz/
38,aarons,/ˈɛɹənz/
39,aaronson,"/ˈɑɹənsən/, /ˈɛɹənsən/"
40,aaronson's,"/ˈɑɹənsənz/, /ˈɛɹənsənz/"
41,aarti,/ˈɑɹˌti/
42,aase,/ˈɑs/
43,aasen,/ˈɑsən/
44,ab,"/ˈæb/, /ˈeɪˈbi/"
45,aba,/ˌeɪˌbiˈeɪ/
46,ababa,"/ˈɑbəbə/, /əˈbɑbə/"
47,abacha,/ˈæbəkə/
48,aback,/əˈbæk/
49,abaco,/ˈæbəˌkoʊ/
50,abacus,/ˈæbəkəs/
51,abad,/əˈbɑd/
52,abadaka,/əˈbædəkə/
53,abadi,/əˈbædi/
54,abadie,/əˈbædi/
55,abair,/əˈbɛɹ/
56,abalkin,/əˈbɑɫkɪn/
57,abalone,/ˌæbəˈɫoʊni/
58,abalones,/ˌæbəˈɫoʊniz/
59,abalos,/ɑˈbɑɫoʊz/
60,abandon,/əˈbændən/
61,abandoned,/əˈbændənd/
62,abandoning,/əˈbændənɪŋ/
63,abandonment,/əˈbændənmənt/
64,abandonments,/əˈbændənmənts/
65,abandons,/əˈbændənz/
66,abanto,/əˈbæntoʊ/
67,abarca,/əˈbɑɹkə/
68,abare,/ɑˈbɑɹi/
69,abascal,/ˈæbəskəɫ/
70,abash,/əˈbæʃ/
71,abashed,/əˈbæʃt/
72,abasia,/əˈbeɪʒjə/
73,abate,/əˈbeɪt/
74,abated,/əˈbeɪtɪd/
75,abatement,/əˈbeɪtmənt/
76,abatements,/əˈbeɪtmənts/
77,abates,/əˈbeɪts/
78,abating,/əˈbeɪtɪŋ/
79,abattoir,/ˌæbətˈwɑɹ/
80,abba,/ˈæbə/
81,abbado,/əˈbɑdoʊ/
82,abbas,/əˈbɑs/
83,abbasi,/ɑˈbɑsi/
84,abbate,/ˈɑbeɪt/
85,abbatiello,/ɑbɑtiˈɛɫoʊ/
86,abbe,"/ˈæbi/, /æˈbeɪ/"
87,abbenhaus,/ˈæbənˌhaʊs/
88,abbett,/əˈbɛt/
89,abbeville,/ˈæbvɪɫ/
90,abbey,/ˈæbi/
91,abbey's,/ˈæbiz/
92,abbie,/ˈæbi/
93,abbitt,/ˈæbɪt/
94,abbot,/ˈæbət/
95,abbotstown,/ˈæbətˈstaʊn/
96,abbott,/ˈæbət/
97,abbott's,/ˈæbəts/
98,abbottstown,/ˈæbətˈstaʊn/
99,abboud,"/əˈbaʊd/, /əˈbud/"
100,abbreviate,/əˈbɹiviˌeɪt/
101,abbreviated,/əˈbɹiviˌeɪtɪd/
